ABOO AVL Rojinegro
68653511 2004990 1556570
17803137 2040289 63700562
15584308 1451399 1558140
14903888 2282840 2177340
66442442 2134459 3061400
17048198 1606530 1367600
9526278 1821870 2057050
70892711 4450220 2222050
28988686 2994570 2155680
74093500 2090800 2001690
28355716 39507336 2334960
35217426 2117340 1955069
15984317 1557790 1440339
52517604 1983421 1979150
16372408 2036780 2012679
65465153 2251929 2092390
14412568 2132770 1844230
8691898 2247771 1925570
61461332 2037980 2018980
14804318 2063620 1964650
9759938 2220080 1859570
64019802 1500510 1376830
8002909 1700259 2300910
20580817 2485460 1924749
9229999 58677033 1471590
17346968 1877639 1824310
9608889 2139569 2056340
52650834 1939330 1889229
15796058 2203890 2255960
15173798 2364270 2079190
73962360 2577480 2399970
13995418 3064590 3611029
76853871 2710840 2582860
14294708 2292650 2029220
65334532 1393139 2035770
7506740 2074319 1813660
13680918 5304809 1783249
68861212 2258259 2475860
29230707 2704739 50662794
26133617 2162570 1842360
13723719 2023829 1618840
65097692 2122990 2044890
19558227 2063230 2014170
73050801 2407929 2955839
18520348 2153380 2399519
78383360 2653600 2335440
84504799 2259220 2076920
81936360 1793960 2101369
23862137 2228450 2152010
93319259 2378659 2469210
100632577 2294590 2429770
84259309 1849799 1754579
29424886 5073160 1901069
73485502 2053129 1854650
76370750 1435260 1458099
22001507 2026249 1639410
10444029 1723540 1877879
85994590 2116540 2038980
71096531 2690650 3716410
36048505 42546025 1991960
39007235 2599859 2580850
67271702 2950080 2720039
8985569 1696580 1951800
7613989 1778100 1750559
75581090 1680080 1418129
11502118 1797480 1614940
11604318 49925514 2417600
23758517 1906590 1594641
12115339 1953300 1714189
71059151 2251510 2211389
16350188 2084480 2136890
72974970 2543111 4432300
24661587 2142460 2290909
65543162 2616440 3954709
10721579 2095440 2069550
68981921 2634840 2278489
16400687 1824600 2072150
8015899 1419350 1450240
6706669 1498260 1495239
48204165 2338539 2129880
12512748 2055870 2072080
7687949 1811580 1877939
8794899 1960350 1780170
81690040 1925029 1653349
12609429 1775749 1992939
68789112 2201939 2326760
13014498 1767379 1785760
59477123 2175320 2240720
23975918 1741981 1535370
11825979 1772019 55114454
20140857 2299410 2222130
12588289 2041380 1922750
67606221 2280800 2227280
24084497 2018280 2019190
62270012 2232599 2177520
22425827 2194470 1695360
9418119 55023843 2641080
20781797 2029759 1969299
10052189 1802590 1683899
63439902 2319410 2184739
13277129 2051669 1891070
8566249 1611030 1526040
8087209 1428859 1691479
67044422 2264390 2182060
9889188 1370100 1437730
6071179 1480270 1412980
5875219 50306794 2486820
15302958 1505870 2102879
12621639 2140010 2129940
76231441 2218989 2124060
15004838 2106240 1799320
9576939 1464609 1521670
72797652 2368880 1841110
11043458 3751060 1930560
71151171 2626340 2082209
28346927 53121163 2072620
23928017 2098800 2119430
20095217 47927154 1981060
22711617 80144670 29245027
30083906 2158950 2072500
56997942 2245419 2146130
13975048 1655760 1726750
83776890 2227910 1931599
81554130 2798690 2167859
16427227 2312640 2292360
99173907 2322931 2472579
66227202 1962790 2142910
18552647 3534650 1977580
11900828 1594819 44881726
20310078 2519679 1672679
14689557 1680679 1413230
70303692 4259620 3625359
84768619 2213190 1716821
13296178 1724910 1486810
14778889 5758119 1964590
81583070 2367100 2201820
13515858 1955119 1795460
51581804 2022829 1994820
14939278 1663960 1925460
9481279 1808780 1864159
67114442 2032780 2179070
